,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
137,US,New York,42.275797,-74.12384884,318.0,0.0,18.0,2020-09-16
138,US,New York,43.66146647,-74.49721957,14.0,0.0,0.0,2020-09-16
139,US,New York,43.42034246,-74.96145307,314.0,0.0,10.0,2020-09-16
140,US,New York,44.04200959,-75.94653457,158.0,0.0,0.0,2020-09-16
141,US,New York,40.636182500000004,-73.94935552,66468.0,0.0,7311.0,2020-09-16
142,US,New York,43.784415700000004,-75.44903992,50.0,0.0,0.0,2020-09-16
143,US,New York,42.72596275,-77.77966158,197.0,0.0,8.0,2020-09-16
144,US,New York,42.91653905,-75.67266639,480.0,0.0,17.0,2020-09-16
145,US,New York,43.14638895,-77.69322942,5809.0,0.0,289.0,2020-09-16
146,US,New York,42.90123494,-74.44011632,218.0,0.0,4.0,2020-09-16
147,US,New York,40.74066522,-73.58941873,45906.0,0.0,2199.0,2020-09-16
148,US,New York,40.76727260000001,-73.97152637,32835.0,0.0,3177.0,2020-09-16
149,US,New York,43.19898042,-78.74777412,1694.0,0.0,101.0,2020-09-16
150,US,New York,43.24375382,-75.43710392,2359.0,0.0,120.0,2020-09-16
151,US,New York,42.91261714,-76.55731592,193.0,0.0,2.0,2020-09-16
152,US,New York,43.00491923,-76.19971155,4133.0,0.0,204.0,2020-09-16
153,US,New York,42.24778241,-78.67923096,245.0,0.0,6.0,2020-09-16
154,US,New York,40.85209301,-73.86282755,52371.0,0.0,4938.0,2020-09-16
155,US,New Mexico,32.73911281,-108.3827845,99.0,0.0,2.0,2020-09-16
156,US,New Mexico,34.86319296,-104.790669,33.0,0.0,1.0,2020-09-16
157,US,New Mexico,35.85751555,-103.82209379999999,2.0,0.0,0.0,2020-09-16
158,US,New Mexico,31.91383467,-108.7151824,98.0,0.0,2.0,2020-09-16
159,US,New Mexico,32.79215361,-103.4123733,1284.0,0.0,20.0,2020-09-16
160,US,New Mexico,33.74526079,-105.4586166,178.0,0.0,3.0,2020-09-16
161,US,New Mexico,35.86631386,-106.31349850000001,29.0,0.0,0.0,2020-09-16
162,US,New Mexico,32.18179341,-107.75088259999998,377.0,0.0,6.0,2020-09-16
163,US,New Mexico,35.58007720000001,-108.262245,4280.0,0.0,252.0,2020-09-16
164,US,New Mexico,36.01095101,-104.9497716,7.0,0.0,0.0,2020-09-16
165,US,New Mexico,32.61348406,-105.7417604,241.0,0.0,13.0,2020-09-16
166,US,New Mexico,35.10403332,-103.54817270000001,69.0,0.0,2.0,2020-09-16
167,US,New Mexico,36.51072137,-106.69316740000001,378.0,0.0,13.0,2020-09-16
168,US,New Mexico,34.02097406,-103.4799493,246.0,0.0,3.0,2020-09-16
169,US,New Mexico,36.50838318,-108.32043700000001,3243.0,0.0,194.0,2020-09-16
170,US,New Mexico,35.48014807,-104.8163562,91.0,0.0,0.0,2020-09-16
171,US,New Mexico,35.68862401,-106.86878030000001,1300.0,0.0,39.0,2020-09-16
172,US,New Mexico,35.50708973,-105.9774716,923.0,0.0,5.0,2020-09-16
173,US,New Mexico,33.13028233,-107.1925893,39.0,0.0,1.0,2020-09-16
174,US,New Mexico,34.00715494,-106.9298354,82.0,0.0,6.0,2020-09-16
175,US,New Mexico,36.58006022,-105.63101979999999,128.0,0.0,4.0,2020-09-16
176,US,New Mexico,34.64048375,-105.8508949,64.0,0.0,1.0,2020-09-16
177,US,New Mexico,34.71669834,-105.8508949,1342.0,0.0,0.0,2020-09-16
178,US,New Mexico,36.48126404,-103.4709624,31.0,0.0,2.0,2020-09-16
179,US,New Mexico,34.71669834,-106.8103733,533.0,0.0,4.0,2020-09-16
180,US,New York,42.60060306,-73.97723916,2948.0,0.0,133.0,2020-09-16
181,US,New York,42.25748406,-78.02750466,94.0,0.0,1.0,2020-09-16
